asin,brand,title,amazon_subcategory,reasoning
B001GCUB3C,little genie,"little genie, love lickers screaming orgasm, 1.76-ounce bottles (pack of 6)",elderberry herbal supplements,Title keyword filter: 'cream'
B001MIYV68,alka-seltzer,"alka-seltzer plus mucus & congestion break up formula 20ct liquid gels, 0.1 boxes (pack of 2)",antacids,Title keyword filter: 'gel'
B006XG6HQQ,argentum plus,argentum plus - colloidal silver-msm cream 120 ml,colloidal minerals supplements,Title keyword filter: 'cream'
B008X8LPDM,bianca rosa,"bianca rosa goldenrod cream (2 oz, zin: 513144)",other herbal supplements,Title keyword filter: 'cream'
B008X8RUBS,bianca rosa,"bianca rosa juniper berry - cream (2 oz, zin: 428596)",other herbal supplements,Title keyword filter: 'cream'
B00BC41PG6,bomenya,"bioflexor deep penetrating gel 2.25 oz, pain reliever for neck, back, hip, hand and joint pain",cbd & hemp extract products,Title keyword filter: 'gel'
B00JQSCGEK,china glaze,"gelaze gel-n-base polish, swing baby, 0.5 fluid ounce",elderberry herbal supplements,Title keyword filter: 'gel'
B00RLGOBM4,at last naturals,at last naturals vaginal moisturizer gel 1.5 oz plant based with wild yam and vitamin e helps restore moisture and ph balance for feminine care paraben free non greasy long lasting hydration 1 pack,intimate moisturizers,Title keyword filter: 'moisturizer'
B01BWNGEIK,dr. organic,dr organic hemp rescue cream,cbd & hemp extract products,Title keyword filter: 'cream'
B01K6VRGHM,good medicine beauty lab,every little thing balm (4 oz.),non-aspirin pain relievers,Title keyword filter: 'balm'
B01MRLVQ7W,hqrp,hqrp 4 natural rose quartz egg/sphere crystal mineral stand polished pink gemstone plate w/star of david decoration,other alternative medicine,Title keyword filter: 'gemstone'
B078YGRNPJ,remove,advil pain reliever/fever reducer liqui-gels 200mg - 20 ct pack of 4,non-aspirin pain relievers,Title keyword filter: 'gel'
B07PZR3DF1,kottakkal,arya vadiya sala patoladi ghritam 150 gm x 1pcsone free prakruthi ginger candy for each order.,other herbal supplements,Title keyword filter: 'candy'
B07RR182CH,strive,"strive body and skin irritation cream | natural formula for wrist, hand, leg and more | 2 oz jar | made in the usa",other mineral supplements,Title keyword filter: 'cream'
B0814GLMNY,crystalmiracle,crystalmiracle golden pyrite 43 mm sphere crystal healing gemstone reiki feng shui home office gift energy cluster,other alternative medicine,Title keyword filter: 'gemstone'
B083XG7BQ8,candykorner,candykorner champagne bubbles | champagne bubble gels,elderberry herbal supplements,Title keyword filter: 'gel'
B086H55F2S,biolabs pro,estrogen - all natural bioidentical estrogen bi-est 5.0 - hormone replacement menopause relief estrogen cream for women - estriol & estradiol - maximum strength - two month supply - 3oz,feminine menopause products,Title keyword filter: 'cream'
B08HSJ76JS,heavens tvcz,naturalmawsitsitjadebraceletâ9.5mmgreenhealingstonebeadsforwomenâheartcharmpendantâattractslove&goodluckâenergyspiritualjewelry,other alternative medicine,Title keyword filter: 'jewelry'
B08JN3GKJQ,oil of youth,oil of youth essential oils 8oz - cinnamon bark essential oil - 8 fluid ounces,cbd & hemp extract products,Title keyword filter: 'essential oil'
